id,title,score,type,eps,year
ap_1,Frieren: Beyond Journey's End,4.6,TV,28,2023 - 2024
ap_2,Frieren: Beyond Journey's End Season 2,4.6,TV,4+,2026 - ?
ap_3,The Apothecary Diaries 2nd Season,4.6,TV,24,2025
ap_4,The Apothecary Diaries,4.6,TV,24,2023 - 2024
ap_5,Fullmetal Alchemist: Brotherhood,4.6,TV,64,2009 - 2010
ap_6,Heaven Official's Blessing 2nd Season,4.5,Web,12,2023 - 2024
ap_7,Demon Slayer: Kimetsu no Yaiba Movie - Infinity Castle: Part 1,4.5,Movie,1 ep,2025
ap_8,The Master of Diabolism 3,4.5,Web,12,2021
ap_9,Attack on Titan 3rd Season: Part II,4.5,TV,10,2019
ap_10,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.5,TV,11,2021 - 2022
ap_11,Fruits Basket the Final Season,4.5,TV,13,2021
ap_12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,4.5,TV,10,2016
ap_13,Solo Leveling Season 2: Arise from the Shadow,4.5,TV,13,2025
ap_14,Chainsaw Man: The Movie - Reze Arc,4.5,Movie,1 ep,2025
ap_15,Bleach: Thousand-Year Blood War,4.5,TV,13,2022
ap_16,A Silent Voice,4.5,Movie,1 ep,2016
ap_17,Heaven Official's Blessing Special,4.5,Web,1 ep,2021
ap_18,Haikyuu!! Second Season,4.5,TV,25,2015 - 2016
ap_19,your name.,4.5,Movie,1 ep,2016
ap_20,Attack on Titan The Final Season: The Final Chapters,4.5,TV Special,2,2023
ap_21,Hunter x Hunter (2011),4.5,TV,148,2011 - 2014
ap_22,Jujutsu Kaisen,4.5,TV,24,2020 - 2021
ap_23,Link Click 2nd Season,4.5,Web,12,2023
ap_24,One Piece: Fan Letter,4.5,TV Special,1 ep,2024
ap_25,Attack on Titan The Final Season,4.5,TV,16,2020 - 2021
ap_26,Haikyuu!! To the Top: Part II,4.5,TV,12,2020
ap_27,Haikyuu!! Movie 5: The Dumpster Battle,4.5,Movie,1 ep,2024
ap_28,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,4.5,Movie,1 ep,2020
ap_29,Code Geass: Lelouch of the Rebellion R2,4.5,TV,25,2008
ap_30,Gintama: The Very Final,4.5,Movie,1 ep,2021
ap_31,Kaguya-sama: Love is War - Ultra Romantic,4.5,TV,13,2022
ap_32,ALIEN STAGE,4.5,Web,11,2022
ap_33,Heaven Official's Blessing,4.5,Web,11,2020 - 2021
ap_34,Violet Evergarden Movie,4.5,Movie,1 ep,2020
ap_35,The Master of Diabolism 2,4.5,Web,8,2019
ap_36,Swallowed Star 2nd Season,4.2,Web,26,2021 - 2022
ap_37,Fairy Tail 2,4.2,TV,102,2014 - 2016
ap_38,Major Season 6,4.2,TV,25,2010
ap_39,Black Lagoon: The Second Barrage,4.2,TV,12,2006
ap_40,Re:ZERO: Starting Life in Another World Season 3,4.2,TV,8,2024
ap_41,Run with the Wind,4.2,TV,23,2018 - 2019
ap_42,Chihayafuru 2,4.2,TV,25,2013
ap_43,Soul Land,4.2,Web,26,2018
ap_44,Shouwa Genroku Rakugo Shinjuu,4.2,TV,13,2016
ap_45,Food Wars! The Third Plate,4.2,TV,12,2017
ap_46,Black Butler: Book of Murder,4.2,OVA,2,2014
ap_47,Major Season 3,4.2,TV,26,2007
ap_48,Bungo Stray Dogs Wan!,4.2,TV,12,2021
ap_49,A Place Further Than the Universe,4.2,TV,13,2018
ap_50,No Game No Life,4.2,TV,12,2014
ap_51,Re:ZERO: Starting Life in Another World Season 2,4.2,TV,13,2020
ap_52,Food Wars! Shokugeki no Souma,4.2,TV,24,2015
ap_53,Evangelion: 2.0 You Can (Not) Advance,4.2,Movie,1 ep,2009
ap_54,Black Butler: Book of Circus,4.2,TV,10,2014
ap_55,My Hero Academia Movie 2: Heroes:Rising,4.2,Movie,1 ep,2019
ap_56,Kingdom 2,4.2,TV,39,2013 - 2014
ap_57,Fairy Tail: Final Season,4.2,TV,51,2018 - 2019
ap_58,Kuroko's Basketball,4.2,TV,25,2012
ap_59,Made in Abyss: Hourou Suru Tasogare,4.2,Movie,1 ep,2019
ap_60,JoJo's Bizarre Adventure: Stone Ocean,4.2,Web,12,2021
ap_61,Nausicaa of the Valley of the Wind,4.2,Movie,1 ep,1984
ap_62,Initial D Final Stage,4.2,TV,4,2014
ap_63,My Dress-Up Darling Season 2,4.2,TV,12,2025
ap_64,Detective Conan Movie 20: The Darkest Nightmare,4.2,Movie,1 ep,2016
ap_65,The Eminence in Shadow,4.2,TV,20,2022 - 2023
ap_66,Food Wars! The Third Plate: Totsuki Train Arc,4.2,TV,12,2018
ap_67,Hunter x Hunter OVA 3: Greed Island Final,4.2,OVA,14,2004
ap_68,SPY x FAMILY Season 2,4.2,TV,12,2023
ap_69,Maid-sama!,4.2,TV,26,2010
ap_70,The Legend of Hei 2,4.2,Movie,1 ep,2025
ap_71,Zoku Owarimonogatari,4.2,Movie,1 ep,2018
ap_72,Haikyuu!! Movie 1: Owari to Hajimari,4.2,Movie,1 ep,2015
ap_73,Overlord,4.2,TV,13,2015
ap_74,Fanren Xiu Xian Chuan: Di Er Ji Nian Fan,4.2,Web,48,2023 - 2024
ap_75,Hunter x Hunter,4.2,TV,62,1999 - 2001
ap_76,Kids on the Slope,4.2,TV,12,2012
ap_77,Girls und Panzer das Finale: Part 4,4.2,Movie,1 ep,2023
ap_78,Tengen Toppa Gurren Lagann: Lagann-hen,4.2,Movie,1 ep,2009
ap_79,Fullmetal Alchemist,4.2,TV,51,2003 - 2004
ap_80,Major Season 2,4.2,TV,26,2005 - 2006
ap_81,K-On! Movie,4.2,Movie,1 ep,2011
ap_82,Gintama: Shinyaku Benizakura-hen Special,4.2,DVD Special,1 ep,2010
ap_83,InuYasha: The Final Act,4.2,TV,26,2009 - 2010
ap_84,Dragon Ball Super Movie: Broly,4.2,Movie,1 ep,2018
ap_85,Given Movie 2: Hiiragi Mix,4.2,Movie,1 ep,2024
ap_86,Scissor Seven 2nd Season,4.2,Web,10,2019 - 2020
ap_87,ALIEN STAGE: PROLOGUE,4.2,Web,1 ep,2022
ap_88,Fruits Basket: Prelude,4.2,Movie,1 ep,2022
ap_89,Haikyuu!! Riku vs Kuu,4.2,OVA,2,2020
ap_90,Mushoku Tensei: Jobless Reincarnation 2nd Season,4.2,TV,12,2023
ap_91,Medalist,4.2,TV,13,2025
ap_92,Orb: On the Movements of the Earth,4.2,TV,25,2024 - 2025
ap_93,Evangelion: 3.0+1.0 Thrice Upon a Time,4.2,Movie,1 ep,2021
ap_94,Fate/stay night: Unlimited Blade Works,4.2,TV,12,2014
ap_95,Gintama: Yorinuki Gintama-san on Theater 2D,4.2,Other,2,2012
ap_96,Assassination Classroom,4.2,TV,22,2015
ap_97,No Game No Life: Zero,4.2,Movie,1 ep,2017
ap_98,Silver Spoon 2nd Season,4.2,TV,11,2014
ap_99,Buddy Daddies,4.2,TV,12,2023
ap_100,MILGRAM,4.2,Music Video,33+,2020 - ?
ap_101,Black Butler: Emerald Witch Arc,4.2,TV,13,2025
ap_102,Major Season 4,4.2,TV,26,2008
ap_103,Hell's Paradise: Jigokuraku,4.2,TV,13,2023
ap_104,Major: World Series,4.2,OVA,2,2011 - 2012
ap_105,Puella Magi Madoka Magica the Movie Part 3: Rebellion,4.2,Movie,1 ep,2013
ap_106,Sword of the Stranger,4.2,Movie,1 ep,2007
ap_107,Non Non Biyori Nonstop,4.2,TV,12,2021
ap_108,SPY x FAMILY Movie CODE: White,4.2,Movie,1 ep,2023
ap_109,Castlevania Season 2,4.2,Web,8,2018
ap_110,School Babysitters Special,4.2,DVD Special,1 ep,2018
ap_111,Hunter x Hunter OVA 2: Greed Island,4.2,OVA,8,2003
ap_112,One Outs,4.2,TV,25,2008 - 2009
ap_113,Golden Kamuy Season 2,4.2,TV,12,2018
ap_114,Sound! Euphonium 3,4.2,TV,13,2024
ap_115,KonoSuba – God's blessing on this wonderful world! 3,4.2,TV,11,2024
ap_116,One Piece Film: Z,4.2,Movie,1 ep,2012
ap_117,Bungo Stray Dogs Movie: Dead Apple,4.2,Movie,1 ep,2018
ap_118,Call of the Night Season 2,4.2,TV,12,2025
ap_119,"Welcome to Demon School, Iruma-kun 2",4.2,TV,21,2021
ap_120,Cowboy Bebop: The Movie,4.2,Movie,1 ep,2001
ap_121,Major Season 1,4.2,TV,26,2004 - 2005
ap_122,Rainbow: Nisha Rokubou no Shichinin,4.2,TV,26,2010
ap_123,Detective Conan Movie 6: The Phantom of Baker Street,4.2,Movie,1 ep,2002
ap_124,The Ancient Magus' Bride: Those Awaiting a Star,4.2,OVA,3,2016 - 2017
ap_125,The Disastrous Life of Saiki K. - Reawakened,4.2,Web,6,2019
ap_126,Toilet-Bound Hanako-kun,4.2,TV,12,2020
ap_127,Horimiya: The Missing Pieces,4.2,TV,13,2023
ap_128,Miss Kobayashi's Dragon Maid S,4.2,TV,12,2021
ap_129,Kamisama Kiss OVA,4.2,OVA,1 ep,2013
ap_130,Eve: Kaikai Kitan,4.2,Music Video,1 ep,2020
ap_131,Yoh Kamiyama: YELLOW,4.2,Music Video,1 ep,2018
ap_132,Jujutsu Kaisen: Kaigyoku/Gyokusetsu,4.2,Movie,1 ep,2025
ap_133,To Your Eternity 2nd Season,4.2,TV,20,2022 - 2023
ap_134,World Trigger 3rd Season,4.2,TV,14,2021 - 2022
ap_135,In This Corner of the World,4.2,Movie,1 ep,2016
