id,title,score,type,eps,year
mal_1,Sousou no Frieren,9.28,TV,28,Sep 2023 - Mar 2024
mal_2,Sousou no Frieren 2nd Season,9.24,TV,10,Jan 2026 -
mal_3,Chainsaw Man Movie: Reze-hen,9.10,Movie,1,Sep 2025 - Sep 2025
mal_4,Fullmetal Alchemist: Brotherhood,9.10,TV,64,Apr 2009 - Jul 2010
mal_5,Steins;Gate,9.07,TV,24,Apr 2011 - Sep 2011
mal_6,Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,Apr 2019 - Jul 2019
mal_7,Gintama: The Final,9.05,Movie,1,Jan 2021 - Jan 2021
mal_8,Gintama°,9.05,TV,51,Apr 2015 - Mar 2016
mal_9,Hunter x Hunter (2011),9.03,TV,148,Oct 2011 - Sep 2014
mal_10,Ginga Eiyuu Densetsu,9.02,OVA,110,Jan 1988 - Mar 1997
mal_11,Gintama',9.02,TV,51,Apr 2011 - Mar 2012
mal_12,Gintama': Enchousen,9.02,TV,13,Oct 2012 - Mar 2013
mal_13,One Piece Fan Letter,9.02,TV Special,1,Oct 2024 - Oct 2024
mal_14,Bleach: Sennen Kessen-hen,8.98,TV,13,Oct 2022 - Dec 2022
mal_15,Gintama.,8.98,TV,12,Jan 2017 - Mar 2017
mal_16,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,TV,13,Apr 2022 - Jun 2022
mal_17,Fruits Basket: The Final,8.94,TV,13,Apr 2021 - Jun 2021
mal_18,Clannad: After Story,8.93,TV,24,Oct 2008 - Mar 2009
mal_19,Gintama,8.93,TV,201,Apr 2006 - Mar 2010
mal_20,Koe no Katachi,8.93,Movie,1,Sep 2016 - Sep 2016
mal_21,Kusuriya no Hitorigoto 2nd Season,8.91,TV,24,Jan 2025 - Jul 2025
mal_22,Code Geass: Hangyaku no Lelouch R2,8.91,TV,25,Apr 2008 - Sep 2008
mal_23,3-gatsu no Lion 2nd Season,8.90,TV,22,Oct 2017 - Mar 2018
mal_24,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,Movie,1,Jul 2013 - Jul 2013
mal_25,Monster,8.89,TV,74,Apr 2004 - Sep 2005
mal_26,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,Jul 2018 - Oct 2018
mal_27,Owarimonogatari 2nd Season,8.86,TV Special,7,Aug 2017 - Aug 2017
mal_28,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,TV Special,2,Mar 2023 - Nov 2023
mal_29,Kusuriya no Hitorigoto,8.85,TV,24,Oct 2023 - Mar 2024
mal_30,Kingdom 3rd Season,8.84,TV,26,Apr 2020 - Oct 2021
mal_31,Violet Evergarden Movie,8.84,Movie,1,Sep 2020 - Sep 2020
mal_32,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,Movie,1,Nov 2024 - Nov 2024
mal_33,Kimi no Na wa.,8.83,Movie,1,Aug 2016 - Aug 2016
mal_34,Vinland Saga Season 2,8.82,TV,24,Jan 2023 - Jun 2023
